id,DEPARTAMENTO,MUNICIPIO_ID,CODIGO_DANE_MUNICIPIO,mpio,TITULO,CAPITULO,ARTICULO,AÑO_ACTUACION
1919,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,ENRIQUECIMIENTO ILICITO DE PARTICULARES ART. 327 C.P.,2013
1920,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2016
1921,SANTANDER,406,68406,LEBRIJA,DELITOS CONTRA EL ORDEN ECONOMICO SOCIAL,DEL LAVADO DE ACTIVOS,LAVADO DE ACTIVOS ART. 323 C.P.,2015
1922,META,318,50318,GUAMAL,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1923,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2015
1924,QUINDIO,130,63130,CALARCA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2013
1925,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2014
1926,CAUCA,1,19001,POPAYAN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2015
1927,ANTIOQUIA,1,5001,MEDELLIN,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2016
1928,ATLANTICO,1,8001,BARRANQUILLA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PREVARICATO,PREVARICATO POR ACCION ART. 413 C.P.,2013
1929,CALDAS,1,17001,MANIZALES,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL PECULADO,PECULADO POR APROPIACION ART. 397 C.P.,2013
1930,SANTANDER,615,68615,RIONEGRO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2016
1931,BOGOTA,1,11001,BOGOTA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
1932,ANTIOQUIA,266,5266,ENVIGADO,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DE LA CONCUSION,CONCUSION ART. 404 C.P.,2014
1933,CUNDINAMARCA,438,25438,MEDINA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2015
1934,CAQUETA,1,18001,FLORENCIA,DELITOS CONTRA LA ADMINISTRACION DE PUBLICA,DEL COHECHO,COHECHO POR DAR U OFRECER ART. 407 C.P.,2014
